Name,YearPublished,GameWeight,AvgRating,MinPlayers,MaxPlayers,BestPlayers,MfgPlaytime,MfgAgeRec,category
Vampire: Prince of the City,2006,3.1163,6.38861,2,5,0,180,12,misc
Obscura Tempora,2005,1.5,5.47669,2,6,0,45,10,misc
Alfapet,1994,1.9394,5.56507,2,4,0,60,10,Family
Schätzbold,2004,1.25,5.64091,3,6,0,30,12,misc
Space Shuffle,2004,1.0,5.18475,2,5,0,30,8,misc
StrataGem,2004,1.7857,5.27435,2,4,0,20,10,Abstract
Redneck Life,2004,1.0,5.34375,2,6,0,60,12,misc
Ballons,2003,1.0,5.34535,2,5,0,10,3,Childrens
Bell-Bottomed Badassses on the Mean Streets of Funk,2004,1.4783,5.96451,2,6,0,40,13,misc
High Finance,1968,1.6,5.76875,2,6,0,45,12,misc
Epic of the Peloponnesian War,2006,3.9545,6.17644,2,4,0,300,12,War
Dicke Dämonen,2004,2.0769,6.66453,1,4,0,20,10,Abstract
WINK,1994,1.125,6.62309,3,8,0,20,8,Party
Boggle Jr.,1988,1.3636,4.43929,1,2,0,10,3,Childrens
Ninja Versus Ninja,2008,1.2857,6.04549,2,2,0,15,10,Family
Imagem & Ação 2,2002,1.3571,6.71029,4,16,0,60,8,misc
Skåål,2004,1.875,5.52378,3,6,0,60,10,misc
La Bataille d'Albuera: Espagnol,1987,3.8125,7.32708,1,2,0,1800,12,War
Sole Mio!,2004,1.4595,6.23428,2,5,0,40,10,Family
Guderian's Blitzkrieg II,2001,4.3889,8.15747,1,6,0,4500,12,War
De Ontembare Stad,2004,2.6364,6.02368,2,5,0,75,10,misc
Brain Warp,1996,1.0,6.27879,1,6,0,15,10,misc
Oltre Mare,2004,2.5077,6.64209,2,5,4,60,12,Strategy
Warzone: Universe Under Siege,2004,3.6,7.55435,2,8,0,240,12,War
Math Dice,2003,1.6667,5.42081,1,0,0,10,8,misc
Clan War,1998,3.5,6.58289,2,2,0,180,12,misc
Drive on Damascus,1981,2.75,6.61667,2,2,0,1500,12,War
Big Two,0,1.7353,6.66017,2,4,0,30,10,misc
Chancellorsville,1961,3.0,5.81667,2,2,0,120,12,War
Who's in the Bag,1992,1.2,5.86255,4,0,0,10,8,misc
Louis XIV,2005,3.0055,7.06321,2,4,4,100,12,Strategy
O'Connor's Offensive,1985,3.1,6.72,2,2,0,180,12,War
Warlord,2004,2.7857,7.08077,2,8,0,90,12,misc
Ligretto 2,2004,1.0714,5.48789,2,2,0,10,8,misc
Yut Nori,500,1.3333,5.75045,2,8,0,30,6,misc
WarGods of Ægyptus,2002,3.2,7.24524,2,2,0,0,12,misc
Chutes and Ladders VCR,1986,1.0,3.67007,1,4,0,15,0,Childrens
The Perfect 10,2003,1.9259,5.9584,2,6,0,30,12,misc
Travel Clue,1990,1.5,5.27208,2,6,0,10,8,misc
The Game of Life: Pirates of the Caribbean,2004,1.2,5.00256,2,6,0,45,9,misc
Clash of Giants II: 1st Ypres & Galicia 1914,2006,2.3729,7.17076,1,2,0,300,12,War
Solitaire,1687,1.5149,4.40165,1,1,0,15,6,Abstract
Qubic,1947,1.5556,5.37279,2,6,0,15,10,Abstract
Surakarta,0,1.5714,6.00625,2,2,0,30,6,Abstract
Hasami Shogi,0,2.0,5.61667,2,2,0,30,10,Abstract
Naval Battles,2004,1.8833,5.93803,2,6,0,30,10,War
Flandern 1302,2004,2.3425,5.91769,2,4,0,60,8,Strategy
Void 1.1,2003,3.4,6.8625,2,8,0,120,12,War
Puluc,0,2.0,6.25263,2,2,0,0,0,Abstract
Under the Shadow of the Dragon,2004,2.3976,6.51496,2,2,0,90,10,Thematic
Scene It? 007,2004,1.7143,5.73803,2,4,0,30,13,misc
Hellfire Pass,1985,2.5455,6.44375,2,2,0,180,12,War
Suleiman the Magnificent,2004,2.8235,6.77606,2,2,0,120,0,War
In the Shadow of the Emperor,2004,3.4213,6.87409,2,4,4,90,12,Strategy
Trivial Pursuit: SNL DVD Edition,2003,2.2857,4.5411,2,6,0,60,14,misc
Monogamy,2001,1.2,5.70308,2,2,0,60,18,misc
Tyrannosaurus Rex,1988,1.0,4.28,2,4,0,20,6,misc
"Cambrai, 1917: The First Blitzkrieg",1974,2.375,7.16389,2,2,0,120,12,War
The Lord of the Rings: The Return of the King,2004,1.625,3.69504,2,6,0,60,8,misc
Monopoly: 1935 Commemorative Edition,1985,1.75,5.30326,2,10,0,30,8,misc
Jurassic Jumble,2004,1.3333,6.22083,3,9,0,10,6,misc
Fairy Tale,2004,1.7658,6.72067,2,5,4,30,10,misc
UFOs! Fritten aus dem All,2004,2.25,5.28667,2,5,0,30,12,misc
Garten-Zwerge e.V.,2004,1.7,5.73333,2,6,0,60,12,misc
Metallurgie,2004,1.4167,5.7004,2,4,0,30,10,Abstract
Vulkan!,2004,2.0,6.15,1,4,0,30,10,Abstract
Kirovograd,1983,3.0,6.88571,2,4,0,180,12,War
Carthage: The First Punic War,2005,3.9868,7.40399,1,2,0,1800,12,War
Junta,1975,0.0,5.89118,2,2,0,30,8,Abstract
Quoridor Kid,2004,1.4211,6.2843,2,4,0,10,6,misc
Scene it? Jr.,2003,1.3333,5.2195,2,12,0,30,8,misc
"Marengo: Napoleon in Italy, 14 June 1800",1975,1.7778,6.45,2,2,0,120,12,War
Jenseits von Theben,2004,2.4308,7.12221,2,4,0,75,10,Strategy
The Scepter of Zavandor,2004,3.51,6.9725,2,6,4,90,10,Strategy
The Guns of Cedar Creek,1989,3.5,7.01613,2,2,0,0,12,War
The Princess and the Pea,2004,1.0,5.37301,1,4,0,10,3,Childrens
"The Sedan Campaign, 1870",2004,2.375,5.90327,1,2,0,240,0,War
"Bastogne: The Desperate Defense, December 1944",1976,2.1875,6.28092,2,2,0,120,12,War
Mr & Mrs,2001,1.0,5.15592,2,16,0,30,8,misc
"Hurtgen Forest: Approach to the Roer, November 1944",1976,2.1429,5.50714,2,2,0,120,12,War
"Remagen: Bridgehead on the Rhine, March 1945",1976,2.0909,4.7907,2,2,0,120,12,War
"Shiloh: The Battle for Tennessee, 6-7 April, 1862",1975,2.4444,6.50545,2,2,0,120,12,War
"Chickamauga: The Last Victory, 20 September 1863",1975,2.3846,6.86162,2,2,0,120,12,War
"Cemetery Hill: The Battle of Gettysburg, 1-3 July, 1863",1975,2.2727,5.67969,2,2,0,120,12,War
1829 Mainline,2005,4.0,6.77257,1,7,0,240,0,Strategy
Froschkönig,2003,1.125,6.37306,2,4,0,20,5,misc
Chinagold,2004,2.32,5.85526,2,2,0,30,8,Abstract
Im Auftrag des Königs,2004,2.0938,6.12123,2,4,0,30,12,misc
7 Deadly Sins,2003,1.5,4.78205,2,21,0,60,18,misc
Dark Age,2002,2.75,7.575,2,2,0,90,12,War
Escape The Mad Mummy,2004,1.0,4.59792,2,4,0,0,7,misc
Trivial Pursuit: 90's Time Capsule Edition,2004,1.4118,5.12526,2,4,0,90,12,misc
Guess Where?,2004,1.0,5.13736,2,2,0,15,6,Childrens
Pirates & Plunder,2004,2.0,6.72927,2,5,0,60,8,misc
Party & Co,1993,1.6316,5.53448,3,20,0,45,14,Party
Feudo,2004,2.898,6.08769,2,4,0,90,12,War
"War in the East: The Russo-German Conflict, 1941-45",1974,3.4545,6.90096,2,6,0,480,12,War
The Big Push: The Battle of the Somme,2005,3.0,6.44545,2,3,0,180,12,War
"Into a Bear Trap: The Battle for Grozny, January 1995",2004,2.9167,6.55127,1,2,0,360,12,War
World in War: Combined Arms 1939-1945,2004,2.04,6.5507,2,4,0,120,12,War
Sorry!: Pokémon,2000,1.0,5.2119,2,4,0,0,6,misc
Mad About Movies!,1997,2.0,4.64286,2,4,0,45,12,misc
Alsace 1944,2004,2.8333,6.94167,2,2,0,0,12,War
La Bataille d'Espagnol: Talavera,1979,3.8333,7.11951,1,3,0,2400,12,War
Dog-opoly,0,1.3333,4.40438,2,6,0,120,8,misc
Speed,1938,1.1111,5.44844,2,5,0,30,7,misc
"The Siege of Alesia: Gaul, 52 B.C.",2005,3.1915,7.07667,2,2,0,300,12,War
Nonsense Classic,1993,1.2,6.06918,3,8,0,20,8,misc
Boing!,1996,1.0,6.41346,2,4,0,5,5,Childrens
In Extremis,2004,1.0,6.44848,3,5,0,10,12,misc
Oceania,2004,1.4545,5.7823,1,2,0,30,10,misc
Geister & Gespenster,2004,1.0,5.62895,2,6,0,10,5,misc
Piracy,2004,2.5,6.02544,2,5,0,90,14,War
Finders keepers!,1993,1.25,5.50982,2,6,0,20,5,Childrens
Autobridge,1938,2.75,5.35922,1,1,0,10,10,misc
Piranha Pedro,2004,1.3034,6.25474,2,6,0,30,8,Family
Jok-R-ummy,1986,1.5,6.01218,2,6,0,60,10,Family
Anachronism,2005,1.7108,6.04814,2,4,0,5,12,CGS
Flix Mix,2004,1.1154,6.29695,2,4,0,20,6,misc
¡New Amici!,2004,0.0,5.40625,2,4,0,30,10,misc
Team Work Original,2004,1.3043,6.12083,4,16,0,20,10,misc
Akaba,2004,1.2308,6.35401,2,4,0,20,5,Childrens
The Ladybug Game,2004,1.0556,4.58917,2,4,0,20,3,Childrens
Nin-Gonost,2004,3.1429,6.90323,1,2,0,45,12,misc
The Mighty Endeavor,2005,2.8657,7.41176,2,2,0,360,12,War
Haslach 1805 / Elchingen 1805,2004,2.7778,7.64103,2,2,0,90,12,War
Fire in the Sky: The Great Pacific War 1941-1945,1999,3.198,7.49999,2,2,0,300,12,War
Starfight,2004,1.8889,7.01875,2,4,0,30,10,War
Toss Up!,2004,1.0938,5.60462,2,6,0,15,8,Family
Commands & Colors: Ancients,2006,2.6927,7.7747,2,2,2,60,12,War
Bad Hollywood,2004,2.0,5.24839,2,4,0,50,10,misc
Soldier Raj,2004,2.3333,6.13333,2,5,0,0,12,War
Der Prestel Schlossgarten,2004,1.8,5.66494,2,4,0,45,9,misc
Jupiter,1993,1.5,6.18372,2,4,0,15,8,Abstract
Sharur: Evolutions,2004,2.0,4.58871,3,6,0,90,12,misc
Casanova,2004,1.0,4.67391,2,4,0,20,10,misc
Project Pornstar,2004,1.4,5.36029,2,5,0,45,18,misc
Druids,2004,1.8182,4.74474,2,4,0,30,10,misc
My Dwarves Fly,2004,1.4186,5.47684,2,4,0,30,10,misc
Party Animals,2004,1.1818,5.81522,3,5,0,45,10,misc
Das Prestel Nasenspiel,2004,2.0,6.03333,2,5,0,30,8,Abstract
Blow Football,1910,1.0,3.81618,2,6,0,0,5,misc
Quickword: The Ultimate Word Game,1991,2.1429,6.10714,2,12,0,60,10,misc
Foto-Electric Football,1941,1.125,5.88442,2,2,0,0,8,misc
Monopoly: Chicago,1995,1.5,5.48438,2,6,0,60,8,misc
Bao,0,3.5,6.6918,2,2,0,40,0,Abstract
Bughouse Chess,1960,2.8333,7.38556,4,4,0,10,10,Abstract
¥€$ (YES),2004,1.5385,4.65525,2,6,0,30,8,misc
Ocean Trader,1988,2.0,6.48485,2,6,0,45,0,misc
Caramba!,2004,1.7143,5.58542,2,4,0,30,10,misc
Stretch Run,2004,1.1818,5.73541,2,6,0,60,8,misc
Desperados,2004,1.8333,5.75636,3,5,0,30,12,misc
PitchCar Mini,2003,1.1447,6.95977,2,8,0,30,6,misc
Blood Feud in New York,2004,2.6875,6.10074,2,6,0,180,12,Thematic
Black Molly,2004,1.8,4.49189,2,4,0,30,8,misc
Tunisie 1943,1995,2.4444,6.85526,2,2,0,300,12,War
Deus Vult!,2005,1.6154,5.21071,2,2,0,30,10,Abstract
Scene It? TV,2004,1.6667,5.44091,2,12,0,30,13,misc
Zeepkistenrace,2004,1.0,5.60968,2,6,0,15,6,misc
UNO: Disney Princess,2004,1.0,5.10606,2,10,0,30,7,misc
2ème D.B. 'I' Normandie,1983,3.1429,5.74242,2,2,0,0,12,War
Lonato,2002,2.5714,6.77155,1,2,0,60,12,War
Trivial Pursuit: Star Wars – Episode I,1999,2.3333,4.83947,2,16,0,60,12,misc
Trivial Pursuit: Disney – The Animated Picture Edition,1999,1.5714,5.29479,2,32,0,30,6,misc
Monster Match,2002,1.0,5.0726,2,4,0,10,6,Childrens
Windschatten,2004,1.4,6.07186,2,4,0,45,10,misc
Harry Potter and the Sorcerer's Stone Mystery at Hogwarts Game,2000,1.5161,5.54027,2,6,0,30,8,misc
Wonders of the World,2004,1.5,4.28425,2,6,0,30,12,misc
Duel for Kharkov,1985,3.5,7.10667,2,2,0,180,12,War
"Warhammer 40,000: Battle for Macragge",2004,3.0,6.63558,2,2,0,120,12,War
"Oh No, There Goes Tokyo!",2002,2.125,6.65632,2,4,0,120,12,misc
Pride and Prejudice: The Game,2002,1.3333,4.8,2,4,0,0,12,misc
Husker Du?,1970,1.1111,5.39563,1,4,0,15,4,Childrens
Emperor's First Battles,1995,2.3333,5.73646,1,2,0,0,12,War
Kinder Bunnies: Their First Adventure,2005,1.3704,5.86935,2,5,0,20,5,Childrens
Nomic,1982,4.3333,7.06625,2,99,0,180,0,Strategy
Marengo,1995,3.4706,6.89094,1,2,0,180,16,War
Monopoly: New Zealand,1960,2.0,4.42059,2,10,0,180,8,misc
Blood & Iron: Bismarck's Wars for Empire,1993,3.2,6.4,2,2,0,60,12,War
The Terminator: CCG,2000,0.0,6.1413,2,2,0,120,10,CGS
The Final Frontier,1997,2.6,6.365,2,4,0,120,12,War
SharkPark,2005,1.8,4.93079,2,4,0,35,8,misc
Metric Mile,1986,2.0,7.37143,1,10,0,0,10,misc
Sergeants: On the Eastern Front,2004,2.0667,6.1539,2,2,0,60,12,War
Outburst Remix!,2004,1.1429,6.5,4,10,0,30,18,misc
SPANC: Space Pirate Amazon Ninja Catgirls,2005,1.3137,5.35588,2,4,0,60,14,Thematic
Fei Xing Qi,0,1.3571,4.50918,2,4,0,90,10,misc
Drakskatten,1983,2.0,4.47778,2,6,0,45,7,misc
Times,1992,2.2222,6.55556,2,5,0,45,10,misc
Malvern Hill,1999,3.6364,7.47887,1,2,0,240,0,War
Pro Foto-Football,1977,1.2,5.61053,2,2,0,0,12,misc
Scene It? Turner Classic Movies,2004,1.0,5.90395,2,12,0,30,13,misc
War of the Rebellion,1993,3.4,6.51961,2,2,0,360,12,misc
Bushi,1970,2.5,5.56098,2,2,0,60,12,Abstract
Mikado Magnetico,1988,1.0,4.8,2,4,0,0,6,misc
Stare! Junior Edition,2002,1.0,5.39512,2,10,0,60,6,Childrens
Homeworlds,2001,3.4468,7.59696,2,6,0,60,10,Abstract
NE-spelet,1999,2.0,5.625,1,6,0,180,14,misc
Men of Iron,2005,2.7255,6.87017,2,2,0,180,12,War
Angus: Batalhas Medievais,2004,2.6364,6.75941,2,5,0,90,9,War
The Horse Race Game,2004,1.0,5.16223,1,15,0,10,8,misc
Keep Cool,2004,2.0,6.352,3,6,0,0,9,misc
The Price of Freedom: The American Civil War 1861-1865,2008,2.8571,6.37158,2,2,0,120,12,War
Totally Gross,2002,1.4,4.5382,2,4,0,0,8,Childrens
Battle of the Sexes: IQ Test,2003,1.0,3.27778,2,8,0,0,12,misc
Gangs of Mega-City One,2005,2.6,7.32143,2,2,0,0,12,misc
Dueling Nobles,2004,1.9286,6.61087,2,2,0,20,8,misc
Let's Kill!,1997,1.3333,5.33623,2,6,0,20,18,misc
Twilight's Last Gleaming 2,2004,2.4286,6.01351,1,2,0,180,0,War
Slammer,2004,1.0,5.29063,2,4,0,15,8,misc
Yankees & Rebels,2004,2.125,7.61452,2,2,0,120,12,War
Tuppi,1900,2.6,7.22162,4,4,0,10,8,misc
Drôles de Zèbres,2004,1.5,6.30596,2,2,0,23,9,misc
Marvel Heroes,2006,3.0671,6.37746,2,4,4,120,12,Thematic
Camelot,2005,1.6667,5.30444,3,6,0,20,10,War
Fields of Glory: Oudenarde & Malplaquet,1996,3.2222,7.03043,2,2,0,600,12,War
Clash for a Continent:  Battles of the American Revolution and French & Indian War,2005,2.1,7.21261,2,4,0,30,12,War
Rebel Sabers: Civil War Cavalry Battles,1986,3.3333,7.23404,2,4,0,1500,12,War
Space Blast,2004,1.6,5.62353,3,6,0,20,10,War
Slow Freight,2004,1.6667,5.42188,2,4,0,0,10,misc
Figure It,1975,1.2857,6.59077,2,5,0,20,8,misc
Danmark-spillet,1988,1.0,4.32121,2,4,0,60,8,misc
Backpacker,2004,1.35,5.63364,2,6,0,60,10,misc
Troja,2004,1.9091,5.10345,2,4,0,30,10,misc
Elementalis,2006,2.0,4.70814,2,4,0,30,8,misc
Sword & Skull,2005,1.5056,5.48285,2,5,0,60,10,misc
Ticket to Ride: Europe,2005,1.9317,7.5447,2,5,4,60,8,Family
Word Basket,2002,1.1111,6.1035,2,8,0,10,10,misc
Humm Bug,0,1.0,5.2825,3,16,0,30,14,misc
Draw Out,2000,1.1429,5.07581,3,6,0,30,10,misc
Jochen der Rochen,2004,1.0714,5.34381,2,6,0,15,4,Childrens
Australia,2005,2.4043,6.48779,2,5,0,90,10,misc
Risk: Star Wars – The Clone Wars Edition,2005,2.2075,6.02117,2,4,0,120,10,Thematic
Monopoly: Star Wars Saga Edition,2005,1.7647,5.43598,2,8,0,120,8,Family
Trivial Pursuit: DVD – Star Wars Saga Edition,2005,1.9118,5.92103,2,6,0,90,10,misc
Ulti,0,3.3333,8.08627,3,3,0,0,8,misc
Shadows over Camelot,2005,2.5664,7.11308,3,7,6,80,10,Thematic
Pimp: The Backhanding,2005,1.3585,5.19409,2,4,0,30,18,misc
Cat & Mouse,1985,1.1667,6.05113,2,2,0,2,8,Abstract
Ekonos,2004,2.4706,6.80806,2,6,0,60,0,misc
Retro: Tactical WWII Wargame Variant Rules,2001,2.5833,7.92222,1,2,0,30,12,War
Storm over Port Arthur,2003,2.3333,6.42424,2,2,0,120,14,War
Scrabble Dice,1989,1.625,5.29265,1,0,0,0,8,misc
Tegn og gæt,0,1.0,5.51077,4,12,0,0,8,misc
Partners,1998,1.3636,5.86247,2,4,0,60,12,misc
Yahtzee: Texas Hold'em,2004,1.5417,5.16069,2,6,0,30,18,misc
Subbuteo Rugby,1970,1.25,5.76842,2,2,0,30,0,misc
Exago,2004,1.4,5.58892,2,6,0,30,9,Abstract
Advanced Squad Leader: Starter Kit #2,2005,3.7978,7.95728,2,2,0,180,12,War
Rapidcroco,2004,1.0,5.56866,2,5,0,15,6,misc
The Flowers of the Forest,1995,2.7273,7.7598,2,2,0,120,12,War
Coloretto Amazonas,2005,1.2444,5.77395,2,4,0,20,8,Family
Amazonas,2005,2.1429,6.32955,3,4,0,50,10,misc
Coloretto,1993,1.5,6.65244,1,4,0,15,3,Childrens
Disney Magic Kingdom Game,2004,1.6,5.67121,2,5,0,30,6,Childrens
Rag'narok,2003,3.4,6.15152,2,2,0,120,10,War
King Arthur: The Card Game,2005,1.5185,6.1182,2,5,0,30,8,Family
Die Insel,2005,1.9091,6.71607,2,4,0,45,10,misc
Spinning Wishes,2002,1.0,3.7871,2,4,0,30,4,Childrens
Go West!,2005,2.2597,5.78363,2,4,0,45,12,misc
Destination London,2004,1.125,4.76389,2,6,0,60,10,misc
RAMbots,2001,2.4545,6.55294,2,4,0,30,8,misc
Monopoly: X-Men,2000,2.3333,5.28571,2,6,0,120,8,misc
Flunkern,2005,1.0833,5.74031,3,6,0,40,8,misc
Linja,2003,1.8571,6.54158,2,2,0,15,8,Abstract
Poland '39: The Nightmare Begins,1992,2.5,6.42867,2,2,0,360,12,War
Berlin '45: The Nightmare Ends,1992,2.8571,6.46918,2,2,0,120,12,War
The McDonald's Game,1975,1.0,6.15244,2,4,0,30,6,misc
Legends of the Old West,2004,2.5833,7.29351,2,8,0,45,12,misc
M.I.G. (Mobile Intelligence Games),2001,1.0,5.36,2,6,0,15,11,misc
International Cricket,1985,2.8333,8.33958,1,2,0,120,12,misc
"Trump, Tricks, Game!",2005,1.9091,6.47424,3,4,0,45,8,Family
Hopp Galopp,2002,1.3333,5.65625,2,4,0,15,6,misc
Des chiffres et des lettres,1983,2.4,5.95731,2,4,0,30,8,misc
Trivial Pursuit: Book Lover's Edition,2004,2.8,4.46752,2,4,0,60,12,misc
The Headlines Game,1989,1.0,6.79024,2,12,0,45,12,misc
Contrario,2001,1.1176,6.10519,2,12,0,30,13,Party
La Bataille de la Moscowa,1975,3.875,7.80625,2,2,0,1000,16,War
Prelude to Disaster: The Soviet Spring Offensive,1992,4.2,6.93684,2,2,0,180,0,War
Law & Order Game,2004,2.3333,2.41475,2,4,0,30,13,misc
Scavengers Gold,1988,1.0,5.21212,2,2,0,20,7,misc
R-Eco,2003,1.4817,6.61225,2,5,3,20,8,Family
Halli Galli Extreme,2005,1.2222,5.72056,2,6,0,20,6,misc
Palazzo,2005,2.06,6.54138,2,4,4,60,10,Strategy
Sag's mit Symbolen,2005,1.0,5.96098,3,6,0,45,12,misc
Race Around Britain!,1988,2.0,4.63333,2,6,0,30,8,misc
Nexus Ops,2005,2.2325,7.21554,2,4,4,90,12,misc
Vegas Showdown,2005,2.3571,7.16859,3,5,5,75,12,Strategy
The Devil's Cauldron: The Battles for Arnhem and Nijmegen,2008,3.8333,8.25088,2,4,0,2400,12,War
Guesstimation,2009,1.0,5.44169,3,8,0,60,8,misc
The Game of CHIPS,1999,1.0,4.88965,2,4,0,15,7,misc
Pass the Bomb Junior,1999,1.1429,6.13056,2,4,0,30,7,Childrens
Eye to Eye,2004,1.0476,6.41556,3,6,0,30,12,misc
"Death in the Trenches: The Great War, 1914-1918",2005,3.0,6.7451,1,2,0,960,12,War
Jacks,0,1.1111,3.76625,2,2,0,1,5,Childrens
Linkity,2004,1.2,5.41818,3,8,0,15,8,misc
Kharkov 1943: le coup de maître de Von Manstein,1992,3.1667,7.22903,2,2,0,240,12,War
TATATA!,2005,1.25,5.95078,2,8,0,30,10,misc
Walk the Dogs,2004,1.1935,6.15238,2,5,0,30,8,Family
Tunebaya,2005,1.2,5.6125,4,8,0,30,12,misc
The Worst-Case Scenario Survival Card Game: Travel Edition,2002,1.0,3.58095,2,8,0,30,8,misc
Marignan 1515,1995,2.8,6.55263,2,2,0,0,12,War
Trivial Pursuit: Globetrotter,2002,1.125,5.59107,2,6,0,90,12,misc
Pour Dieu et pour le Roy,2005,3.0,7.10811,2,2,0,180,12,War
Starship Troopers Miniatures Game,2005,2.6818,6.88042,2,2,0,180,12,War
Värsta Språket,2004,0.0,4.9,3,8,0,60,14,misc
Get Nifty,2005,2.6667,4.71875,2,6,0,40,10,misc
Kokkelimonke Jubileum,2000,1.4615,6.33226,3,8,0,60,12,misc
Zombiaki,2003,1.6056,6.15011,2,2,0,15,8,Thematic
Middle East Battles: Suez '56,2004,2.75,6.13588,2,2,0,180,12,War
Geni,1984,0.0,4.65116,2,6,0,60,12,misc
Millionær,1982,0.0,4.68632,2,6,0,90,8,misc
The Last Straw,1988,1.0,4.99386,2,4,0,15,5,Childrens
Scene It? Movie Deluxe,2005,1.75,5.66248,2,12,0,30,13,misc
Tower of Babel,2005,2.3344,6.62227,3,5,4,45,10,Strategy
Fjords,2005,1.7192,6.74174,2,2,2,30,8,misc
Diamant,2005,1.1122,6.82644,3,8,6,30,8,Family
Kids On Stage,1988,1.0,5.57333,2,6,0,30,3,Childrens
Jorden runt på 80 dagar,1986,2.0,5.62632,2,5,0,60,9,misc
Orangino,2002,1.0,4.94681,2,6,0,0,0,misc
Trivial Pursuit: DVD – The Lord Of The Rings Trilogy Edition,2004,1.5714,5.86365,2,4,0,90,12,misc
Roulette,1796,1.1286,3.37668,2,6,0,1,8,misc
Quak,1994,1.0,5.60577,2,4,0,15,4,misc
Double Sens,0,1.0,5.26143,4,16,0,10,10,misc
Jumbolino,1978,1.0,4.13095,2,4,0,15,4,Childrens
Kreta,2005,2.6456,6.90629,2,4,4,60,11,Strategy
Scruples: Millennium Edition,1999,1.6667,5.73875,4,12,0,30,18,misc
Fantasi,1989,1.0,5.82143,3,12,0,45,10,misc
Gangster,1985,2.5,5.70845,2,6,0,120,11,misc
Busungar,1986,1.0,4.01562,2,5,0,45,6,Childrens
Blizzard of '77 Travel Game,1977,2.0,5.57647,2,6,0,0,8,Childrens
Terrace 6x6,1997,3.0,6.69355,2,4,0,0,0,Abstract
Hoyle's Games,1742,3.3333,6.49225,1,0,0,0,8,Abstract
War For the Motherland,1994,3.8333,7.04714,1,2,0,360,12,War
Egyptian Ratscrew,1975,1.2381,5.59932,2,10,0,30,10,Family
N-Tropy,2004,1.3333,5.76015,2,6,0,5,8,misc
Belote,1930,2.625,6.61692,2,4,0,20,8,Abstract
The Game of Life: Card Game,2002,1.55,5.76326,2,4,0,30,9,Family
MidEvil,2005,1.5918,5.51258,2,6,0,60,12,Thematic
Agentenjagd,2001,1.3333,4.03355,2,5,0,45,12,misc
Alerta Roja,1986,1.7778,5.2137,3,6,0,0,10,misc
Hidden Conflict,2005,1.7,4.34453,2,6,0,30,10,misc
Knowing Me Knowing You,2003,1.375,5.26228,2,6,0,45,12,misc
Manila,2005,2.0342,6.98504,3,5,4,60,10,Family
Pickomino,2005,1.1536,6.56408,2,7,4,20,8,Family
Snifty Snakes,1975,1.1667,5.37941,2,4,0,2,5,misc
Triumph of Chaos,2005,4.3542,7.58606,2,2,0,360,12,War
"Blitzkrieg Commander: Fast-Play Tabletop Wargame Rules for Combined-Arms Operations, 1936-45",2004,2.6522,7.44513,2,2,0,150,12,War
"Schnapp, Land, Fluss!",2002,1.0,5.375,2,6,0,15,8,misc
Scene It? Disney,2004,1.619,5.55438,2,12,0,30,6,misc
Cheat,0,1.1111,5.16036,3,10,0,10,8,Family
Bonaparte at Marengo,2005,3.1977,7.39349,2,2,0,120,12,War
Fantomen,1984,2.0,4.72297,2,4,0,60,8,misc
Electro,1910,1.3333,4.00091,1,4,0,45,5,misc
Reisen,0,1.0,4.19048,2,4,0,0,5,misc
Impact,2003,2.0,4.38409,2,2,0,30,8,misc
Abbeville 1940,1996,2.8333,5.67188,2,2,0,0,12,War
Rummy,1887,1.4148,5.7991,2,6,0,60,8,Family
The Hollywood! Card Game,2005,1.3061,5.52349,3,4,0,15,12,Family
Scopa,1600,1.4928,6.58389,2,6,0,30,8,Family
San Ta Si,2005,1.7778,6.21564,2,2,0,15,10,Abstract
Wings of War: Burning Drachens,2005,1.9595,7.13526,1,2,0,20,10,misc
Conquest of Paradise,2007,2.4881,6.94966,1,4,4,90,12,Strategy
Final Fantasy VIII: Triple Triad,1999,1.8571,7.55357,2,2,0,5,10,misc
Sphinx,1987,1.2857,5.79787,2,2,0,20,12,misc
Blood Bowl: Living Rulebook,2004,3.1705,7.85206,2,2,2,120,12,Thematic
Arkham Horror,2005,3.5777,7.25155,1,8,4,240,14,Thematic
Storm Over Scandinavia,1998,4.0,7.37778,1,4,0,480,12,War
Jenga Casino,2000,1.3333,5.38684,2,8,0,30,18,misc
1825 Unit 3,2004,3.7,7.58129,2,2,0,120,14,Strategy
1825 Unit 2,2000,3.5333,7.5149,2,4,0,180,12,Strategy
Fraud Squad,2002,1.25,4.10811,3,6,0,45,8,misc
A Greek Tragedy: The Italian Invasion of Greece 1940-1941,2001,2.6667,6.20283,2,2,0,360,12,War
Volley & Bayonet,1994,2.6,7.52273,2,4,0,240,14,War
Cranium Whoonu,2005,1.0889,6.00235,3,6,0,30,8,misc
Merlin,1978,1.6667,5.121,1,2,0,1,7,Abstract
Star Wars: Electronic Galactic Battle,1997,1.5556,5.55772,1,2,0,30,5,misc
Legends of Wrestling,2002,1.2,7.86667,1,2,0,30,10,misc
Calaboose,2005,1.125,5.40408,2,5,0,30,12,misc
Champions of the Galaxy,1986,2.1875,8.17121,1,4,0,30,10,misc
Il Cucco,0,1.2667,6.22354,2,40,0,2,8,misc
Bamses honungs-jakt,1984,1.0,4.26291,2,4,0,30,5,misc
Trivial Pursuit Junior: Fourth Edition,1996,2.0,5.18903,2,4,0,30,0,Childrens
Fredericus,2005,2.0,5.42281,2,4,0,30,8,misc
